"Age" "gender" "Attitude" "deep" "stra" "surf" "Points"
"1" 53 "F" 37 3.58333333333333 3.375 2.58333333333333 25
"2" 55 "M" 31 2.91666666666667 2.75 3.16666666666667 12
"3" 49 "F" 25 3.5 3.625 2.25 24
"4" 53 "M" 35 3.5 3.125 2.25 10
"5" 49 "M" 37 3.66666666666667 3.625 2.83333333333333 22
"6" 38 "F" 38 4.75 3.625 2.41666666666667 21
"7" 50 "M" 35 3.83333333333333 2.25 1.91666666666667 21
"8" 37 "F" 29 3.25 4 2.83333333333333 31
"9" 37 "M" 38 4.33333333333333 4.25 2.16666666666667 24
"10" 42 "F" 21 4 3.5 3 26
"11" 37 "M" 39 3.58333333333333 3.625 2.66666666666667 31
"12" 34 "F" 38 3.83333333333333 4.75 2.41666666666667 31
"13" 34 "F" 24 4.25 3.625 2.25 23
"14" 34 "F" 30 3.33333333333333 3.5 2.75 25
"15" 35 "M" 26 4.16666666666667 1.75 2.33333333333333 21
"16" 46 "F" 25 3.08333333333333 3.125 2.66666666666667 0
"17" 33 "F" 41 3.66666666666667 3.875 2.33333333333333 31
"18" 32 "F" 26 4.08333333333333 1.375 2.91666666666667 20
"19" 44 "F" 26 3.5 3.25 2.5 22
"20" 29 "M" 17 4.08333333333333 3 3.75 9
"21" 30 "F" 27 4 3.75 2.75 24
"22" 27 "M" 39 3.91666666666667 2.625 2.33333333333333 28
"23" 29 "M" 34 4 2.375 2.41666666666667 30
"24" 31 "F" 27 4 3.625 3 24
"25" 37 "F" 23 3.66666666666667 2.75 2.41666666666667 9
"26" 26 "F" 37 3.66666666666667 1.75 2.83333333333333 26
"27" 26 "F" 44 4.41666666666667 3.25 3.16666666666667 32
"28" 30 "M" 41 3.91666666666667 4 3 32
"29" 37 "F" 24 3.83333333333333 2.125 2.16666666666667 0
"30" 33 "F" 37 3.75 3.625 2 33
"31" 33 "F" 25 3.25 2.875 3.5 29
"32" 28 "M" 30 3.58333333333333 3 3.75 30
"33" 26 "M" 34 4.91666666666667 1.625 2.5 19
"34" 27 "F" 32 3.58333333333333 3.25 2.08333333333333 23
"35" 25 "F" 20 2.91666666666667 3.5 2.41666666666667 19
"36" 31 "F" 24 3.66666666666667 3 2.58333333333333 12
"37" 20 "M" 42 4.5 3.25 1.58333333333333 10
"38" 39 "F" 16 4.08333333333333 1.875 2.83333333333333 11
"39" 38 "M" 31 3.83333333333333 4.375 1.83333333333333 20
"40" 24 "M" 38 3.25 3.625 2.41666666666667 26
"41" 26 "M" 38 2.33333333333333 2.5 3.25 31
"42" 25 "M" 33 3.33333333333333 1.25 3.41666666666667 20
"43" 30 "F" 17 4.08333333333333 4 3.41666666666667 23
"44" 25 "F" 25 2.91666666666667 3 3.16666666666667 12
"45" 30 "M" 32 3.33333333333333 2.5 3.5 24
"46" 48 "F" 35 3.83333333333333 4.875 2.66666666666667 17
"47" 24 "F" 32 3.66666666666667 5 2.41666666666667 29
"48" 40 "F" 42 4.66666666666667 4.375 3.58333333333333 23
"49" 25 "M" 31 3.75 3.25 2.08333333333333 28
"50" 23 "F" 39 3.41666666666667 4 3.75 31
"51" 25 "F" 19 4.16666666666667 3.125 2.91666666666667 23
"52" 23 "F" 21 2.91666666666667 2.5 2.91666666666667 25
"53" 27 "M" 25 4.16666666666667 3.125 2.41666666666667 18
"54" 25 "M" 32 3.58333333333333 3.25 3 19
"55" 23 "M" 32 2.83333333333333 2.125 3.41666666666667 22
"56" 23 "F" 26 4 2.75 2.91666666666667 25
"57" 23 "F" 23 2.91666666666667 2.375 3.25 21
"58" 45 "F" 38 3 3.125 3.25 9
"59" 22 "F" 28 4.08333333333333 4 2.33333333333333 28
"60" 23 "F" 33 2.91666666666667 4 3.25 25
"61" 21 "M" 48 3.5 2.25 2.5 29
"62" 21 "M" 40 4.33333333333333 3.25 1.75 33
"63" 21 "F" 40 4.25 3.625 2.25 33
"64" 21 "F" 47 3.41666666666667 3.625 2.08333333333333 25
"65" 26 "F" 23 3.08333333333333 2.5 2.83333333333333 18
"66" 25 "F" 31 4.58333333333333 1.875 2.83333333333333 22
"67" 26 "F" 27 3.41666666666667 2 2.41666666666667 17
"68" 21 "M" 41 3.41666666666667 1.875 2.25 25
"69" 22 "F" 34 3.5 2.625 2.33333333333333 0
"70" 23 "F" 34 3.41666666666667 4 2.83333333333333 28
"71" 22 "F" 25 3.58333333333333 2.875 2.25 22
"72" 22 "F" 21 1.58333333333333 3.875 1.83333333333333 26
"73" 22 "F" 14 3.33333333333333 2.5 2.91666666666667 11
"74" 23 "F" 19 4.33333333333333 2.75 2.91666666666667 29
"75" 22 "M" 37 4.41666666666667 4.5 2.08333333333333 22
"76" 25 "M" 41 4.58333333333333 3.5 2.66666666666667 0
"77" 23 "M" 32 4.83333333333333 3.375 2.33333333333333 21
"78" 24 "M" 28 3.08333333333333 2.625 2.41666666666667 28
"79" 22 "F" 41 3 4.125 2.75 33
"80" 23 "F" 25 4.08333333333333 2.625 3.25 16
"81" 22 "M" 28 4.08333333333333 2.25 1.75 31
"82" 20 "M" 38 3.75 2.75 2.58333333333333 22
"83" 22 "M" 31 3.08333333333333 3 3.33333333333333 31
"84" 21 "M" 35 4.75 1.625 2.83333333333333 23
"85" 22 "F" 36 4.25 1.875 2.5 26
"86" 23 "F" 26 4.16666666666667 3.375 2.41666666666667 12
"87" 21 "M" 44 4.41666666666667 3.75 2.41666666666667 26
"88" 22 "M" 45 3.83333333333333 2.125 2.58333333333333 31
"89" 29 "M" 32 3.33333333333333 2.375 3 19
"90" 26 "F" 20 3.41666666666667 1.75 2.33333333333333 0
"91" 29 "F" 39 3.16666666666667 2.75 2 30
"92" 21 "F" 25 3.16666666666667 3.125 3.41666666666667 12
"93" 28 "M" 33 3.83333333333333 3.5 2.83333333333333 17
"94" 23 "M" 35 4.16666666666667 1.625 3.41666666666667 0
"95" 21 "F" 33 4.25 2.625 2.25 18
"96" 30 "F" 30 3.83333333333333 3.375 2.75 19
"97" 21 "F" 29 3.66666666666667 2.25 3.91666666666667 21
"98" 23 "M" 33 3.83333333333333 3 2.33333333333333 24
"99" 21 "F" 33 3.83333333333333 4 2.75 28
"100" 21 "F" 35 3.83333333333333 3.5 2.75 17
"101" 20 "F" 36 3.66666666666667 2.625 2.91666666666667 18
"102" 21 "M" 42 4.16666666666667 2.875 2.66666666666667 0
"103" 22 "M" 37 4.33333333333333 2.5 2.08333333333333 17
"104" 35 "F" 28 4.41666666666667 3.25 3.58333333333333 0
"105" 21 "M" 42 3.75 3.75 3.66666666666667 23
"106" 22 "M" 22 2.66666666666667 2 3.41666666666667 0
"107" 21 "M" 32 4.16666666666667 3.625 2.83333333333333 26
"108" 20 "F" 50 4 4.125 3.41666666666667 28
"109" 22 "M" 47 4 4.375 1.58333333333333 31
"110" 20 "F" 36 4.58333333333333 2.625 2.91666666666667 27
"111" 20 "F" 36 3.66666666666667 4 3 25
"112" 24 "M" 29 3.66666666666667 2.75 2.91666666666667 23
"113" 20 "F" 35 3.83333333333333 2.75 2.66666666666667 21
"114" 19 "F" 40 2.58333333333333 1.375 3 27
"115" 21 "F" 35 3.5 2.25 2.75 28
"116" 21 "F" 32 3.08333333333333 3.625 3.08333333333333 23
"117" 22 "F" 26 4.25 3.75 2.5 21
"118" 25 "F" 20 3.16666666666667 4 2.33333333333333 25
"119" 21 "F" 27 3.08333333333333 3.125 3 11
"120" 22 "F" 32 4.16666666666667 3.25 3 19
"121" 25 "F" 33 2.25 2.125 4 24
"122" 20 "F" 39 3.33333333333333 2.875 3.25 28
"123" 24 "M" 33 3.08333333333333 1.5 3.5 21
"124" 20 "F" 30 2.75 2.5 3.5 24
"125" 21 "M" 37 3.25 3.25 3.83333333333333 24
"126" 26 "F" 14 3.75 3.25 3.08333333333333 0
"127" 28 "M" 30 4.75 2.5 2.5 0
"128" 20 "F" 25 4 3.625 2.91666666666667 20
"129" 20 "F" 29 3.58333333333333 3.875 2.16666666666667 19
"130" 31 "M" 39 4.08333333333333 3.875 1.66666666666667 30
"131" 20 "F" 36 4.25 2.375 2.08333333333333 22
"132" 22 "F" 29 3.41666666666667 3 2.83333333333333 16
"133" 22 "F" 21 3.08333333333333 3.375 3.41666666666667 16
"134" 21 "M" 31 3.5 2.75 3.33333333333333 19
"135" 20 "F" 24 3.91666666666667 3.125 3.5 0
"136" 22 "M" 40 3.66666666666667 4.5 2.58333333333333 30
"137" 21 "F" 31 4.25 2.625 2.83333333333333 23
"138" 21 "F" 23 4.25 2.75 3.33333333333333 19
"139" 21 "F" 28 3.83333333333333 3.25 3 18
"140" 21 "F" 37 4.41666666666667 4.125 2.58333333333333 28
"141" 20 "F" 26 3.5 3.375 2.41666666666667 21
"142" 21 "F" 24 3.58333333333333 2.75 3.58333333333333 19
"143" 25 "F" 30 3.66666666666667 4.125 2.08333333333333 27
"144" 27 "F" 29 4.25 3 2.75 0
"145" 20 "F" 32 3.75 4.125 3.91666666666667 0
"146" 21 "M" 28 2.08333333333333 3.25 4.33333333333333 24
"147" 24 "F" 29 4.25 2.875 2.66666666666667 21
"148" 20 "F" 24 3.58333333333333 2.875 3 20
"149" 21 "M" 31 4 2.375 2.66666666666667 28
"150" 20 "F" 19 3.33333333333333 3.875 2.16666666666667 12
"151" 20 "F" 20 3.5 2.125 2.66666666666667 21
"152" 18 "F" 38 3.16666666666667 4 2.25 28
"153" 21 "F" 34 3.58333333333333 3.25 2.66666666666667 31
"154" 19 "F" 37 3.41666666666667 2.625 3.33333333333333 18
"155" 21 "F" 29 4.25 2.75 3.5 25
"156" 20 "F" 23 3.25 4 2.75 19
"157" 21 "M" 41 4.41666666666667 3 2 21
"158" 20 "F" 27 3.25 3.375 2.83333333333333 16
"159" 21 "F" 35 3.91666666666667 3.875 3.5 7
"160" 20 "F" 34 3.58333333333333 3.25 2.5 21
"161" 18 "F" 32 4.5 3.375 3.16666666666667 17
"162" 22 "M" 33 3.58333333333333 4.125 3.08333333333333 22
"163" 22 "F" 33 3.66666666666667 3.5 2.91666666666667 18
"164" 24 "M" 35 2.58333333333333 2 3.16666666666667 25
"165" 19 "F" 32 4.16666666666667 3.625 2.5 24
"166" 20 "F" 31 3.25 3.375 3.83333333333333 23
"167" 21 "F" 24 3.58333333333333 2.25 2.83333333333333 0
"168" 20 "F" 28 4.33333333333333 2.125 2.25 23
"169" 17 "F" 17 3.91666666666667 4.625 3.41666666666667 26
"170" 19 "M" 19 2.66666666666667 2.5 3.75 12
"171" 23 "F" 32 3.58333333333333 2 1.75 0
"172" 20 "F" 35 3.08333333333333 2.875 3 32
"173" 20 "F" 24 3.75 2.75 2.58333333333333 22
"174" 25 "F" 38 4.08333333333333 3.375 2.75 0
"175" 20 "F" 21 4.16666666666667 4 3.33333333333333 20
"176" 20 "F" 29 4.16666666666667 2.375 2.83333333333333 21
"177" 19 "F" 19 3.25 3.875 3 23
"178" 19 "F" 20 4.08333333333333 3.375 2.83333333333333 20
"179" 22 "F" 42 2.91666666666667 1.75 3.16666666666667 28
"180" 35 "M" 41 3.83333333333333 3 2.75 31
"181" 18 "F" 37 3.16666666666667 2.625 3.41666666666667 18
"182" 19 "F" 36 3.41666666666667 2.625 3 30
"183" 21 "M" 18 4.08333333333333 3.375 2.66666666666667 19
